"bilanzkreis_id","building_id","lat","lon","beschreibung","strasse","plz","stadt"
"261","842",50.8013976,6.049441,"Familienzentrum Laurentiusstraße","Laurentiusstraße 90","52072","Aachen"
"250","644",50.771786,6.040074,"KITA + Offene Tür Philipp-Neri-Weg 4-6","Philipp-Neri-Weg 4-6","52074","Aachen"
"154","153",50.711855,6.19705,"KITA + Wohnung Hahner Straße","Hahner Straße 32","52076","Aachen"
"249","133",50.772102,6.041891,"KITA 2 Philipp-Neri-Weg","Philipp-Neri-Weg 11","52074","Aachen"
"257","640",50.71995,6.155963,"KITA Aachenerstr. (Montessori)","Aachener Straße 250","52076","Aachen"
"262","287",50.71184,6.180437,"KITA Albert Einstein Straße","Albert-Einstein-Straße 84","52076","Aachen"
"263","158",50.766107,6.133836,"KITA Albert-Maas-Straße","Albert-Maas-Straße 32","52078","Aachen"
"264","159",50.728839,6.174269,"KITA Alfons-Gerson Straße","Alfons-Gerson-Straße 26a","52076","Aachen"
"265","449",50.771919,6.096945,"KITA Alfonsstr.","Alfonsstraße 22","52070","Aachen"
"18","168",50.76137,6.09953,"KITA Am Höfling","Am Höfling 10","52066","Aachen"
"23","164",50.77365,6.153534,"KITA Am Kleebach","Am Kleebach 24","52080","Aachen"
"25","167",50.765233,6.119885,"KITA Am Pappelweiher","Am Pappelweiher 1","52066","Aachen"
"32","171",50.799139,6.06839,"KITA An der Rahemühle","An der Rahemühle 6","52072","Aachen"
"49","150",50.791606,6.128497,"KITA Auf Überhaaren","Auf Überhaaren 20","52080","Aachen"
"68","173",50.757584,6.097413,"KITA Bayernallee","Bayernallee 2","52066","Aachen"
"69","175",50.778612,6.173078,"KITA Bayersbusch","Bayersbusch 2","52080","Aachen"
"279","74",50.780645,6.085288,"KITA Bergstraße","Bergstraße 16-18","52062","Aachen"
"285","292",50.776276,6.05758,"KITA Brunsumstraße","Brunssumstraße 36","52074","Aachen"
"95","180",50.775815,6.113093,"KITA Düppelstraße","Düppelstraße 5","52068","Aachen"
"102","166",50.799206,6.131272,"KITA Eibenweg","Eibenweg 16","52080","Aachen"
"110","252",50.775101,6.118665,"KITA Elsaßstrasse","Elsassstraße 64/72","52068","Aachen"
"121","163",50.745581,6.15601,"KITA Franz-Wallraffstraße","Franz-Wallraff-Straße 2","52078","Aachen"
"141","172",50.815184,6.051559,"KITA Grünenthaler Straße","Grünenthaler Straße 90","52072","Aachen"
